,Borough,School_Num,School_Year,Indicator_1.1,Indicator_1.2,Indicator_2.2,Indicator_3.4,Indicator_4.2
100,K,161,2006-07,4.0,4.0,4.0,4.0,4.0
101,K,189,2006-07,4.0,4.0,4.0,4.0,4.0
102,K,198,2006-07,3.0,3.0,3.0,4.0,4.0
103,K,208,2006-07,4.0,4.0,4.0,3.0,4.0
104,K,251,2006-07,4.0,4.0,3.0,4.0,4.0
105,K,312,2006-07,4.0,4.0,4.0,4.0,4.0
106,K,539,2006-07,3.0,1.0,3.0,3.0,3.0
107,K,587,2006-07,3.0,3.0,1.0,3.0,1.0
108,K,625,2006-07,3.0,3.0,4.0,4.0,3.0
109,K,246,2006-07,3.0,3.0,3.0,3.0,3.0
110,K,415,2006-07,3.0,3.0,1.0,3.0,3.0
111,K,600,2006-07,3.0,3.0,3.0,3.0,3.0
112,K,236,2006-07,4.0,3.0,4.0,4.0,3.0
113,K,244,2006-07,4.0,4.0,3.0,4.0,4.0
114,K,254,2006-07,4.0,3.0,3.0,4.0,4.0
115,K,278,2006-07,4.0,4.0,4.0,4.0,4.0
116,K,469,2006-07,3.0,3.0,1.0,3.0,1.0
117,K,479,2006-07,3.0,3.0,4.0,3.0,4.0
118,K,555,2006-07,3.0,4.0,3.0,4.0,3.0
119,K,195,2006-07,4.0,4.0,4.0,4.0,4.0
120,K,397,2006-07,3.0,1.0,3.0,3.0,3.0
121,K,092,2006-07,4.0,4.0,4.0,4.0,4.0
122,K,109,2006-07,4.0,4.0,4.0,3.0,4.0
123,K,119,2006-07,3.0,4.0,3.0,4.0,3.0
124,K,134,2006-07,4.0,4.0,4.0,4.0,4.0
125,K,167,2006-07,3.0,3.0,1.0,3.0,3.0
126,K,194,2006-07,4.0,4.0,4.0,4.0,4.0
127,K,203,2006-07,4.0,4.0,4.0,4.0,4.0
128,K,207,2006-07,4.0,4.0,3.0,4.0,4.0
129,K,217,2006-07,4.0,4.0,4.0,4.0,4.0
130,K,221,2006-07,3.0,3.0,3.0,3.0,4.0
131,K,222,2006-07,4.0,3.0,4.0,4.0,4.0
132,K,249,2006-07,4.0,4.0,4.0,4.0,4.0
133,K,269,2006-07,4.0,4.0,4.0,4.0,4.0
134,K,316,2006-07,3.0,3.0,1.0,3.0,3.0
135,K,326,2006-07,4.0,4.0,4.0,4.0,4.0
136,K,361,2006-07,4.0,3.0,4.0,4.0,4.0
137,K,390,2006-07,3.0,3.0,3.0,3.0,3.0
138,K,068,2006-07,3.0,1.0,3.0,3.0,4.0
139,K,191,2006-07,4.0,4.0,4.0,4.0,4.0
140,K,219,2006-07,4.0,4.0,4.0,4.0,4.0
141,K,276,2006-07,3.0,3.0,3.0,4.0,4.0
142,K,285,2006-07,4.0,4.0,4.0,4.0,4.0
143,K,353,2006-07,3.0,3.0,1.0,3.0,3.0
144,K,354,2006-07,3.0,3.0,4.0,3.0,3.0
145,K,091,2006-07,4.0,4.0,4.0,3.0,4.0
146,K,114,2006-07,3.0,1.0,3.0,4.0,4.0
147,K,135,2006-07,4.0,4.0,3.0,3.0,4.0
148,K,232,2006-07,3.0,1.0,1.0,4.0,1.0
149,K,233,2006-07,3.0,3.0,3.0,3.0,3.0
150,K,252,2006-07,1.0,1.0,1.0,1.0,3.0
151,K,268,2006-07,3.0,3.0,3.0,3.0,4.0
152,K,197,2006-07,4.0,3.0,4.0,4.0,4.0
153,K,352,2006-07,3.0,3.0,1.0,3.0,3.0
154,K,495,2006-07,3.0,3.0,3.0,4.0,4.0
155,K,002,2006-07,4.0,4.0,4.0,4.0,4.0
156,K,022,2006-07,4.0,3.0,3.0,4.0,4.0
157,K,206,2006-07,4.0,3.0,4.0,4.0,3.0
158,K,289,2006-07,4.0,4.0,3.0,3.0,4.0
159,K,394,2006-07,3.0,4.0,3.0,3.0,4.0
160,K,500,2006-07,1.0,1.0,1.0,1.0,1.0
161,K,515,2006-07,3.0,3.0,1.0,3.0,1.0
162,K,585,2006-07,3.0,3.0,3.0,3.0,3.0
163,K,181,2006-07,3.0,1.0,1.0,4.0,1.0
164,K,277,2006-07,4.0,3.0,3.0,4.0,4.0
165,X,117,2006-07,1.0,3.0,3.0,3.0,1.0
166,K,241,2006-07,4.0,4.0,3.0,3.0,3.0
167,K,255,2006-07,4.0,4.0,4.0,4.0,4.0
168,K,014,2006-07,1.0,1.0,1.0,1.0,3.0
169,K,078,2006-07,3.0,1.0,1.0,3.0,3.0
170,K,240,2006-07,1.0,3.0,1.0,1.0,3.0
171,X,229,2006-07,3.0,3.0,1.0,3.0,3.0
172,X,339,2006-07,1.0,3.0,1.0,3.0,1.0
173,K,138,2006-07,4.0,4.0,4.0,4.0,4.0
174,X,166,2006-07,1.0,1.0,1.0,1.0,1.0
175,X,313,2006-07,3.0,3.0,1.0,1.0,3.0
176,X,328,2006-07,1.0,1.0,1.0,1.0,1.0
177,X,399,2006-07,3.0,4.0,3.0,3.0,3.0
178,X,076,2006-07,4.0,4.0,4.0,4.0,4.0
179,X,080,2006-07,1.0,3.0,1.0,3.0,3.0
180,X,083,2006-07,4.0,3.0,4.0,4.0,4.0
181,X,106,2006-07,3.0,4.0,3.0,4.0,3.0
182,X,335,2006-07,3.0,3.0,1.0,1.0,3.0
183,X,391,2006-07,1.0,1.0,1.0,1.0,1.0
184,X,123,2006-07,3.0,3.0,3.0,3.0,1.0
185,X,194,2006-07,4.0,4.0,4.0,4.0,3.0
186,X,337,2006-07,3.0,1.0,3.0,3.0,3.0
187,X,062,2006-07,3.0,3.0,3.0,3.0,3.0
188,X,068,2006-07,4.0,4.0,3.0,4.0,4.0
189,X,075,2006-07,3.0,3.0,1.0,3.0,3.0
190,X,152,2006-07,4.0,4.0,4.0,4.0,4.0
191,X,178,2006-07,4.0,3.0,4.0,4.0,4.0
192,X,182,2006-07,4.0,4.0,4.0,4.0,4.0
193,X,214,2006-07,4.0,4.0,3.0,3.0,4.0
194,X,061,2006-07,1.0,3.0,1.0,3.0,3.0
195,X,087,2006-07,4.0,4.0,3.0,4.0,3.0
196,X,127,2006-07,1.0,3.0,1.0,3.0,3.0
197,K,381,2006-07,4.0,4.0,3.0,4.0,4.0
198,X,006,2006-07,3.0,3.0,3.0,3.0,3.0
199,X,047,2006-07,4.0,4.0,4.0,3.0,4.0
200,X,078,2006-07,4.0,4.0,4.0,4.0,3.0
201,X,092,2006-07,4.0,4.0,4.0,4.0,4.0
202,X,105,2006-07,4.0,4.0,4.0,4.0,4.0
203,X,107,2006-07,3.0,3.0,1.0,3.0,3.0
204,X,146,2006-07,3.0,1.0,3.0,3.0,3.0
205,X,198,2006-07,3.0,1.0,3.0,4.0,4.0
206,X,211,2006-07,3.0,3.0,3.0,3.0,3.0
207,X,253,2006-07,3.0,3.0,3.0,3.0,3.0
208,X,680,2006-07,1.0,1.0,1.0,1.0,1.0
209,X,692,2006-07,3.0,3.0,4.0,3.0,3.0
210,Q,159,2006-07,4.0,4.0,4.0,4.0,4.0
211,X,097,2006-07,3.0,3.0,3.0,3.0,3.0
212,X,112,2006-07,3.0,1.0,3.0,3.0,3.0
213,X,150,2006-07,4.0,1.0,3.0,4.0,3.0
214,X,318,2006-07,4.0,4.0,4.0,4.0,3.0
215,X,333,2006-07,4.0,4.0,4.0,4.0,4.0
216,X,019,2006-07,4.0,4.0,4.0,4.0,4.0
217,X,044,2006-07,4.0,4.0,3.0,4.0,4.0
218,X,100,2006-07,4.0,4.0,4.0,4.0,4.0
219,X,108,2006-07,4.0,4.0,4.0,4.0,4.0
220,X,111,2006-07,4.0,4.0,3.0,3.0,4.0
221,X,057,2006-07,4.0,4.0,3.0,4.0,3.0
222,X,021,2006-07,3.0,3.0,3.0,3.0,3.0
223,X,093,2006-07,1.0,1.0,1.0,1.0,1.0
224,X,140,2006-07,4.0,4.0,3.0,4.0,3.0
225,X,153,2006-07,4.0,4.0,4.0,4.0,4.0
226,X,690,2006-07,3.0,3.0,1.0,3.0,1.0
227,X,691,2006-07,3.0,3.0,3.0,3.0,3.0
228,Q,022,2006-07,3.0,3.0,3.0,3.0,3.0
229,Q,024,2006-07,4.0,4.0,4.0,4.0,4.0
230,Q,080,2006-07,4.0,4.0,4.0,4.0,4.0
231,X,138,2006-07,4.0,4.0,4.0,4.0,3.0
232,X,196,2006-07,4.0,3.0,3.0,4.0,4.0
233,Q,120,2006-07,3.0,3.0,3.0,3.0,3.0
234,Q,272,2006-07,3.0,4.0,3.0,3.0,3.0
