,Borough,School_Num,School_Year,Indicator_1.1,Indicator_1.2,Indicator_2.2,Indicator_3.4,Indicator_4.2
1783,R,445,2007-08,3.0,3.0,4.0,1.5,4.0
1784,X,055,2007-08,4.0,4.0,3.0,1.5,4.0
1785,X,083,2007-08,4.0,4.0,4.0,4.0,4.0
1786,X,170,2007-08,4.0,4.0,4.0,4.0,5.0
1787,X,231,2007-08,3.0,4.0,3.0,1.5,3.0
1788,X,352,2007-08,3.0,3.0,3.0,3.0,3.0
1789,K,053,2007-08,4.0,5.0,4.0,4.0,5.0
1790,M,003,2007-08,4.0,4.0,4.0,4.0,4.0
1791,M,034,2007-08,4.0,4.0,4.0,3.0,4.0
1792,M,116,2007-08,4.0,4.0,4.0,3.0,4.0
1793,X,670,2007-08,3.0,3.0,4.0,1.5,4.0
1794,K,216,2007-08,4.0,4.0,4.0,4.0,5.0
1795,K,495,2007-08,4.0,4.0,4.0,3.0,4.0
1796,M,124,2007-08,4.0,4.0,4.0,3.0,4.0
1797,M,158,2007-08,4.0,4.0,4.0,4.0,5.0
1798,M,325,2007-08,4.0,4.0,4.0,3.0,4.0
1799,M,600,2007-08,4.0,5.0,4.0,5.0,4.0
1800,M,630,2007-08,4.0,4.0,4.0,3.0,4.0
1801,Q,224,2007-08,4.0,5.0,4.0,4.0,4.0
1802,Q,993,2007-08,4.0,5.0,4.0,4.0,5.0
1803,M,005,2007-08,5.0,5.0,5.0,4.0,5.0
1804,M,037,2007-08,5.0,4.0,4.0,4.0,3.0
1805,M,328,2007-08,4.0,4.0,4.0,4.0,5.0
1806,M,655,2007-08,4.0,4.0,4.0,3.0,4.0
1807,Q,075,2007-08,3.0,4.0,3.0,3.0,4.0
1808,Q,209,2007-08,4.0,4.0,4.0,4.0,4.0
1809,X,011,2007-08,4.0,4.0,4.0,3.0,4.0
1810,X,058,2007-08,4.0,4.0,4.0,4.0,4.0
1811,X,064,2007-08,3.0,3.0,3.0,3.0,3.0
1812,X,180,2007-08,4.0,4.0,5.0,4.0,4.0
1813,X,232,2007-08,4.0,4.0,4.0,3.0,4.0
1814,X,267,2007-08,4.0,4.0,4.0,4.0,4.0
1815,X,413,2007-08,4.0,4.0,4.0,3.0,4.0
1816,X,440,2007-08,3.0,4.0,4.0,4.0,4.0
1817,X,655,2007-08,4.0,4.0,3.0,3.0,4.0
1818,M,400,2007-08,4.0,4.0,4.0,3.0,4.0
1819,M,475,2007-08,4.0,0.0,4.0,3.0,4.0
1820,X,009,2007-08,4.0,4.0,4.0,3.0,4.0
1821,X,600,2007-08,4.0,4.0,3.0,4.0,4.0
1822,K,052,2007-08,4.0,4.0,4.0,3.0,4.0
1823,K,510,2007-08,4.0,4.0,3.0,3.0,4.0
1824,M,210,2007-08,3.0,3.0,3.0,1.5,4.0
1825,M,425,2007-08,4.0,4.0,4.0,3.0,4.0
1826,M,542,2007-08,4.0,4.0,4.0,4.0,5.0
1827,X,037,2007-08,3.0,4.0,3.0,3.0,4.0
1828,X,056,2007-08,4.0,4.0,4.0,4.0,4.0
1829,X,163,2007-08,4.0,4.0,4.0,4.0,4.0
1830,X,442,2007-08,4.0,4.0,4.0,3.0,4.0
1831,K,089,2007-08,4.0,4.0,4.0,3.0,4.0
1832,K,112,2007-08,4.0,4.0,4.0,4.0,4.0
1833,K,295,2007-08,4.0,4.0,4.0,4.0,4.0
1834,K,490,2007-08,5.0,5.0,5.0,5.0,5.0
1835,M,311,2007-08,4.0,5.0,4.0,4.0,5.0
1836,R,048,2007-08,4.0,4.0,4.0,4.0,4.0
1837,R,080,2007-08,4.0,4.0,4.0,4.0,4.0
1838,X,036,2007-08,4.0,4.0,4.0,3.0,4.0
1839,X,062,2007-08,4.0,4.0,4.0,4.0,4.0
1840,X,159,2007-08,3.0,4.0,3.0,3.0,4.0
1841,X,315,2007-08,4.0,4.0,4.0,4.0,5.0
1842,X,323,2007-08,4.0,4.0,4.0,3.0,5.0
1843,X,414,2007-08,4.0,4.0,3.0,3.0,4.0
1844,K,001,2007-08,5.0,5.0,5.0,5.0,5.0
1845,K,099,2007-08,4.0,4.0,1.5,4.0,4.0
1846,K,102,2007-08,5.0,5.0,4.0,4.0,5.0
1847,K,177,2007-08,4.0,4.0,4.0,4.0,4.0
1848,R,053,2007-08,5.0,4.0,4.0,4.0,4.0
1849,X,008,2007-08,4.0,4.0,4.0,3.0,4.0
1850,X,206,2007-08,3.0,3.0,3.0,1.5,3.0
1851,X,310,2007-08,4.0,4.0,4.0,4.0,4.0
1852,K,048,2007-08,4.0,4.0,4.0,3.0,4.0
1853,K,104,2007-08,4.0,4.0,4.0,4.0,4.0
1854,K,121,2007-08,5.0,5.0,4.0,4.0,4.0
1855,K,164,2007-08,5.0,5.0,4.0,4.0,4.0
1856,K,288,2007-08,3.0,3.0,3.0,1.5,3.0
1857,K,354,2007-08,4.0,4.0,3.0,3.0,4.0
1858,X,015,2007-08,4.0,4.0,3.0,4.0,4.0
1859,X,023,2007-08,5.0,5.0,4.0,4.0,4.0
1860,X,085,2007-08,4.0,4.0,4.0,4.0,4.0
1861,X,207,2007-08,3.0,3.0,3.0,3.0,3.0
1862,X,236,2007-08,4.0,3.0,4.0,3.0,4.0
1863,X,243,2007-08,3.0,3.0,4.0,3.0,3.0
1864,X,412,2007-08,4.0,4.0,3.0,4.0,4.0
1865,K,027,2007-08,4.0,3.0,3.0,3.0,4.0
1866,K,029,2007-08,4.0,3.0,4.0,5.0,5.0
1867,K,193,2007-08,3.0,3.0,3.0,3.0,3.0
1868,K,350,2007-08,3.0,3.0,3.0,1.5,3.0
1869,M,087,2007-08,3.0,4.0,4.0,3.0,4.0
1870,M,199,2007-08,4.0,4.0,4.0,4.0,4.0
1871,M,247,2007-08,5.0,5.0,5.0,4.0,5.0
1872,M,278,2007-08,4.0,4.0,4.0,3.0,4.0
1873,M,318,2007-08,4.0,4.0,4.0,4.0,4.0
1874,M,345,2007-08,4.0,4.0,4.0,3.0,4.0
1875,R,027,2007-08,4.0,4.0,3.0,4.0,4.0
1876,R,373,2007-08,5.0,5.0,4.0,4.0,4.0
1877,X,028,2007-08,4.0,4.0,4.0,3.0,5.0
1878,X,046,2007-08,5.0,5.0,4.0,4.0,5.0
1879,X,197,2007-08,4.0,4.0,4.0,4.0,4.0
1880,X,215,2007-08,4.0,4.0,4.0,3.0,4.0
1881,X,284,2007-08,4.0,4.0,4.0,4.0,3.0
1882,X,307,2007-08,4.0,4.0,4.0,3.0,4.0
1883,X,520,2007-08,3.0,3.0,3.0,1.5,3.0
1884,Q,138,2007-08,4.0,4.0,4.0,4.0,4.0
1885,X,278,2007-08,4.0,4.0,1.5,1.5,3.0
1886,K,205,2007-08,4.0,4.0,4.0,4.0,4.0
1887,K,483,2007-08,5.0,5.0,5.0,4.0,5.0
1888,K,540,2007-08,4.0,4.0,4.0,3.0,4.0
1889,K,582,2007-08,4.0,4.0,4.0,4.0,3.0
1890,K,690,2007-08,4.0,4.0,4.0,4.0,4.0
1891,K,697,2007-08,4.0,4.0,4.0,4.0,5.0
1892,M,192,2007-08,4.0,4.0,4.0,3.0,3.0
1893,Q,194,2007-08,4.0,4.0,4.0,3.0,4.0
1894,R,049,2007-08,3.0,3.0,3.0,1.5,3.0
1895,R,450,2007-08,4.0,4.0,4.0,4.0,4.0
1896,X,682,2007-08,4.0,4.0,4.0,3.0,4.0
1897,K,194,2007-08,4.0,4.0,5.0,4.0,4.0
1898,M,314,2007-08,3.0,4.0,3.0,4.0,4.0
1899,M,407,2007-08,5.0,5.0,5.0,5.0,5.0
1900,X,203,2007-08,3.0,3.0,3.0,1.5,3.0
1901,K,265,2007-08,3.0,3.0,3.0,1.5,3.0
1902,K,549,2007-08,4.0,4.0,4.0,3.0,4.0
1903,K,620,2007-08,4.0,4.0,4.0,3.0,4.0
1904,M,440,2007-08,4.0,4.0,4.0,3.0,4.0
1905,M,463,2007-08,4.0,4.0,4.0,3.0,4.0
1906,M,468,2007-08,4.0,4.0,4.0,3.0,4.0
1907,M,580,2007-08,4.0,4.0,4.0,3.0,4.0
1908,M,620,2007-08,3.0,3.0,3.0,1.5,4.0
1909,M,625,2007-08,4.0,4.0,3.0,3.0,4.0
1910,Q,009,2007-08,3.0,3.0,3.0,3.0,3.0
1911,Q,189,2007-08,4.0,4.0,4.0,3.0,4.0
1912,R,600,2007-08,4.0,4.0,4.0,3.0,4.0
1913,X,723,2007-08,3.0,3.0,3.0,3.0,4.0
1914,Q,137,2007-08,4.0,4.0,4.0,4.0,5.0
1915,K,625,2007-08,4.0,4.0,4.0,3.0,4.0
1916,Q,323,2007-08,5.0,5.0,5.0,5.0,5.0
1917,K,392,2007-08,4.0,4.0,4.0,3.0,4.0
1918,K,509,2007-08,3.0,3.0,3.0,1.5,4.0
1919,M,245,2007-08,5.0,5.0,4.0,4.0,4.0
1920,M,408,2007-08,1.5,4.0,3.0,3.0,3.0
1921,M,416,2007-08,3.0,3.0,3.0,3.0,4.0
1922,M,448,2007-08,3.0,3.0,1.5,1.5,3.0
1923,M,529,2007-08,4.0,4.0,4.0,3.0,4.0
1924,M,545,2007-08,4.0,4.0,5.0,4.0,4.0
1925,M,670,2007-08,4.0,4.0,4.0,3.0,4.0
1926,Q,262,2007-08,4.0,4.0,3.0,4.0,5.0
1927,X,176,2007-08,5.0,5.0,5.0,5.0,5.0
1928,X,342,2007-08,4.0,4.0,4.0,3.0,4.0
1929,K,008,2007-08,4.0,4.0,4.0,3.0,3.0
1930,K,018,2007-08,4.0,4.0,4.0,3.0,4.0
1931,K,044,2007-08,4.0,4.0,4.0,3.0,3.0
1932,K,084,2007-08,4.0,3.0,3.0,4.0,3.0
1933,K,132,2007-08,5.0,5.0,4.0,5.0,5.0
1934,K,147,2007-08,4.0,4.0,4.0,3.0,4.0
1935,K,169,2007-08,4.0,3.0,3.0,3.0,4.0
1936,K,256,2007-08,4.0,3.0,4.0,3.0,4.0
1937,M,028,2007-08,4.0,4.0,4.0,4.0,4.0
1938,M,036,2007-08,4.0,4.0,4.0,4.0,4.0
1939,M,185,2007-08,4.0,4.0,4.0,4.0,4.0
1940,M,439,2007-08,4.0,5.0,5.0,4.0,4.0
1941,M,467,2007-08,4.0,4.0,4.0,3.0,4.0
1942,Q,060,2007-08,4.0,4.0,4.0,4.0,4.0
1943,Q,066,2007-08,5.0,4.0,4.0,4.0,5.0
1944,X,030,2007-08,4.0,3.0,4.0,3.0,4.0
1945,X,067,2007-08,4.0,4.0,4.0,4.0,4.0
1946,K,011,2007-08,3.0,4.0,3.0,3.0,3.0
1947,K,221,2007-08,4.0,4.0,4.0,4.0,4.0
1948,M,145,2007-08,4.0,4.0,4.0,3.0,3.0
1949,M,462,2007-08,4.0,3.0,3.0,3.0,4.0
1950,X,198,2007-08,4.0,4.0,4.0,3.0,4.0
1951,K,091,2007-08,4.0,4.0,4.0,3.0,4.0
1952,K,203,2007-08,5.0,5.0,4.0,5.0,4.0
1953,K,535,2007-08,4.0,4.0,4.0,3.0,4.0
1954,M,152,2007-08,4.0,4.0,4.0,3.0,4.0
1955,X,005,2007-08,4.0,4.0,4.0,3.0,4.0
1956,X,161,2007-08,4.0,4.0,3.0,3.0,4.0
1957,K,065,2007-08,4.0,4.0,4.0,4.0,4.0
1958,K,241,2007-08,4.0,4.0,4.0,3.0,4.0
1959,M,030,2007-08,4.0,4.0,4.0,4.0,5.0
1960,M,089,2007-08,3.0,3.0,4.0,4.0,4.0
1961,M,155,2007-08,5.0,5.0,4.0,5.0,5.0
1962,M,241,2007-08,3.0,3.0,3.0,3.0,3.0
1963,M,555,2007-08,3.0,4.0,4.0,3.0,4.0
1964,Q,051,2007-08,5.0,5.0,3.0,4.0,4.0
1965,X,043,2007-08,4.0,4.0,4.0,3.0,3.0
1966,X,044,2007-08,4.0,4.0,4.0,4.0,3.0
1967,K,003,2007-08,3.0,4.0,4.0,3.0,4.0
1968,K,020,2007-08,3.0,3.0,3.0,3.0,3.0
1969,K,025,2007-08,3.0,3.0,3.0,1.5,3.0
1970,K,036,2007-08,4.0,4.0,4.0,4.0,4.0
1971,K,038,2007-08,4.0,4.0,4.0,4.0,4.0
1972,K,126,2007-08,3.0,3.0,1.5,3.0,3.0
1973,K,140,2007-08,3.0,3.0,3.0,3.0,3.0
1974,K,180,2007-08,4.0,4.0,4.0,3.0,4.0
1975,K,244,2007-08,4.0,4.0,4.0,4.0,4.0
1976,K,327,2007-08,5.0,4.0,4.0,3.0,4.0
1977,K,352,2007-08,4.0,4.0,4.0,4.0,3.0
1978,K,369,2007-08,5.0,5.0,4.0,4.0,4.0
1979,M,125,2007-08,3.0,4.0,3.0,3.0,4.0
1980,M,140,2007-08,4.0,4.0,3.0,3.0,4.0
1981,M,200,2007-08,4.0,4.0,4.0,3.0,3.0
1982,Q,090,2007-08,4.0,4.0,4.0,3.0,4.0
1983,X,291,2007-08,4.0,4.0,4.0,4.0,4.0
1984,X,300,2007-08,4.0,4.0,4.0,4.0,4.0
1985,K,141,2007-08,4.0,4.0,4.0,4.0,4.0
1986,Q,135,2007-08,3.0,4.0,3.0,1.5,4.0
1987,Q,232,2007-08,4.0,3.0,3.0,4.0,4.0
1988,K,005,2007-08,4.0,4.0,4.0,4.0,3.0
1989,K,250,2007-08,4.0,4.0,3.0,3.0,4.0
1990,K,297,2007-08,4.0,4.0,4.0,3.0,4.0
1991,K,368,2007-08,4.0,4.0,4.0,3.0,4.0
1992,K,447,2007-08,4.0,4.0,3.0,3.0,4.0
1993,K,771,2007-08,4.0,4.0,4.0,3.0,4.0
1994,M,018,2007-08,4.0,4.0,4.0,4.0,4.0
1995,M,048,2007-08,4.0,4.0,4.0,3.0,4.0
1996,M,077,2007-08,4.0,4.0,4.0,5.0,5.0
1997,M,092,2007-08,3.0,4.0,3.0,4.0,4.0
1998,M,102,2007-08,4.0,4.0,4.0,4.0,4.0
1999,Q,037,2007-08,4.0,4.0,4.0,3.0,4.0
2000,Q,499,2007-08,4.0,4.0,4.0,4.0,4.0
2001,Q,033,2007-08,4.0,4.0,4.0,3.0,4.0
2002,K,024,2007-08,5.0,5.0,5.0,5.0,5.0
2003,K,056,2007-08,4.0,4.0,4.0,4.0,4.0
2004,K,095,2007-08,4.0,4.0,4.0,4.0,3.0
2005,K,103,2007-08,4.0,4.0,4.0,3.0,3.0
2006,M,138,2007-08,4.0,4.0,3.0,4.0,3.0
2007,M,154,2007-08,4.0,4.0,3.0,3.0,4.0
2008,M,194,2007-08,3.0,3.0,3.0,1.5,3.0
2009,M,363,2007-08,4.0,4.0,3.0,4.0,4.0
2010,Q,043,2007-08,3.0,4.0,4.0,3.0,4.0
2011,X,020,2007-08,4.0,4.0,4.0,3.0,5.0
2012,X,029,2007-08,4.0,4.0,4.0,4.0,4.0
2013,X,186,2007-08,4.0,4.0,4.0,4.0,4.0
2014,X,205,2007-08,5.0,4.0,5.0,5.0,5.0
2015,X,212,2007-08,3.0,1.5,3.0,1.5,3.0
2016,K,189,2007-08,5.0,4.0,5.0,3.0,4.0
2017,Q,014,2007-08,4.0,4.0,4.0,4.0,5.0
2018,X,031,2007-08,4.0,4.0,3.0,3.0,4.0
2019,K,131,2007-08,4.0,4.0,4.0,4.0,5.0
2020,K,230,2007-08,4.0,3.0,4.0,3.0,5.0
2021,M,046,2007-08,4.0,4.0,4.0,4.0,4.0
2022,M,129,2007-08,4.0,4.0,4.0,4.0,3.0
2023,M,169,2007-08,4.0,4.0,4.0,4.0,4.0
2024,X,103,2007-08,5.0,5.0,4.0,3.0,4.0
2025,K,146,2007-08,4.0,4.0,4.0,4.0,4.0
2026,K,336,2007-08,3.0,4.0,3.0,1.5,3.0
2027,K,394,2007-08,4.0,4.0,4.0,4.0,4.0
2028,M,094,2007-08,4.0,4.0,3.0,1.5,4.0
2029,M,250,2007-08,4.0,4.0,4.0,4.0,5.0
2030,M,811,2007-08,4.0,4.0,4.0,5.0,3.0
2031,Q,105,2007-08,1.5,3.0,1.5,1.5,3.0
2032,Q,254,2007-08,4.0,4.0,4.0,4.0,4.0
2033,Q,333,2007-08,4.0,4.0,4.0,4.0,4.0
2034,X,042,2007-08,5.0,4.0,3.0,4.0,4.0
2035,X,140,2007-08,4.0,4.0,4.0,3.0,4.0
2036,X,146,2007-08,4.0,4.0,4.0,4.0,4.0
2037,X,301,2007-08,4.0,4.0,4.0,4.0,4.0
2038,K,239,2007-08,4.0,4.0,4.0,4.0,4.0
2039,K,247,2007-08,5.0,4.0,4.0,4.0,4.0
2040,K,257,2007-08,4.0,4.0,4.0,4.0,4.0
2041,K,605,2007-08,4.0,4.0,3.0,3.0,4.0
2042,M,006,2007-08,4.0,4.0,4.0,3.0,4.0
2043,M,054,2007-08,4.0,4.0,4.0,4.0,4.0
2044,M,143,2007-08,4.0,4.0,4.0,4.0,4.0
2045,M,167,2007-08,4.0,4.0,4.0,3.0,4.0
2046,M,189,2007-08,4.0,4.0,5.0,4.0,4.0
2047,M,255,2007-08,4.0,4.0,4.0,4.0,4.0
2048,Q,183,2007-08,4.0,4.0,4.0,4.0,4.0
2049,Q,410,2007-08,4.0,3.0,3.0,1.5,4.0
2050,Q,501,2007-08,4.0,4.0,4.0,3.0,4.0
2051,Q,752,2007-08,3.0,3.0,3.0,3.0,3.0
2052,R,025,2007-08,4.0,4.0,4.0,4.0,3.0
2053,R,051,2007-08,3.0,4.0,3.0,4.0,4.0
2054,X,071,2007-08,4.0,4.0,4.0,3.0,4.0
2055,X,293,2007-08,5.0,5.0,4.0,4.0,5.0
2056,K,191,2007-08,4.0,4.0,4.0,4.0,4.0
2057,X,228,2007-08,4.0,4.0,3.0,3.0,4.0
2058,X,473,2007-08,4.0,4.0,4.0,3.0,4.0
2059,K,284,2007-08,4.0,4.0,3.0,3.0,4.0
2060,K,292,2007-08,4.0,4.0,4.0,3.0,4.0
2061,K,525,2007-08,4.0,4.0,4.0,4.0,4.0
2062,M,420,2007-08,3.0,4.0,4.0,4.0,4.0
2063,Q,228,2007-08,5.0,5.0,5.0,4.0,5.0
2064,R,054,2007-08,4.0,4.0,4.0,3.0,4.0
2065,X,022,2007-08,4.0,4.0,4.0,3.0,4.0
2066,X,121,2007-08,3.0,4.0,4.0,4.0,4.0
2067,K,058,2007-08,4.0,4.0,3.0,3.0,3.0
2068,K,107,2007-08,3.0,4.0,4.0,3.0,4.0
2069,K,443,2007-08,4.0,3.0,4.0,3.0,3.0
2070,M,303,2007-08,4.0,4.0,4.0,4.0,4.0
2071,M,321,2007-08,3.0,4.0,3.0,4.0,4.0
2072,M,528,2007-08,4.0,4.0,4.0,3.0,3.0
2073,M,692,2007-08,4.0,0.0,4.0,4.0,4.0
2074,Q,047,2007-08,4.0,4.0,4.0,3.0,4.0
2075,R,035,2007-08,3.0,3.0,3.0,3.0,3.0
2076,X,128,2007-08,4.0,3.0,4.0,3.0,4.0
2077,X,154,2007-08,5.0,5.0,4.0,4.0,4.0
2078,X,179,2007-08,4.0,4.0,3.0,4.0,4.0
2079,X,250,2007-08,4.0,4.0,4.0,4.0,4.0
2080,X,396,2007-08,3.0,4.0,3.0,3.0,3.0
2081,K,098,2007-08,4.0,4.0,4.0,3.0,4.0
2082,K,159,2007-08,4.0,4.0,4.0,3.0,4.0
2083,K,233,2007-08,4.0,4.0,4.0,3.0,4.0
2084,K,290,2007-08,5.0,5.0,4.0,5.0,4.0
2085,K,306,2007-08,3.0,3.0,3.0,3.0,3.0
2086,K,448,2007-08,4.0,4.0,4.0,3.0,4.0
2087,K,506,2007-08,4.0,4.0,4.0,4.0,4.0
2088,K,507,2007-08,4.0,4.0,4.0,4.0,4.0
2089,M,195,2007-08,4.0,4.0,4.0,3.0,4.0
2090,Q,042,2007-08,3.0,4.0,4.0,1.5,3.0
2091,Q,087,2007-08,4.0,4.0,4.0,4.0,5.0
2092,Q,117,2007-08,4.0,4.0,4.0,3.0,4.0
2093,Q,207,2007-08,4.0,4.0,4.0,3.0,4.0
2094,Q,210,2007-08,3.0,4.0,3.0,3.0,4.0
2095,Q,480,2007-08,4.0,4.0,4.0,3.0,4.0
2096,R,032,2007-08,4.0,4.0,4.0,4.0,4.0
2097,X,017,2007-08,4.0,4.0,4.0,4.0,3.0
2098,X,199,2007-08,4.0,4.0,4.0,4.0,4.0
2099,X,279,2007-08,4.0,4.0,4.0,3.0,4.0
2100,X,660,2007-08,4.0,4.0,3.0,3.0,4.0
2101,M,347,2007-08,4.0,4.0,4.0,4.0,5.0
2102,Q,045,2007-08,3.0,4.0,1.5,1.5,3.0
2103,X,270,2007-08,4.0,4.0,4.0,1.5,3.0
2104,K,026,2007-08,4.0,4.0,4.0,4.0,4.0
2105,K,093,2007-08,4.0,4.0,3.0,4.0,4.0
2106,K,154,2007-08,4.0,3.0,3.0,3.0,3.0
2107,K,287,2007-08,4.0,4.0,3.0,3.0,4.0
2108,K,489,2007-08,4.0,4.0,3.0,4.0,3.0
2109,M,038,2007-08,5.0,5.0,4.0,4.0,4.0
2110,M,298,2007-08,4.0,4.0,4.0,3.0,4.0
2111,M,409,2007-08,3.0,4.0,4.0,1.5,3.0
2112,M,442,2007-08,5.0,4.0,4.0,4.0,4.0
2113,M,839,2007-08,4.0,4.0,4.0,3.0,3.0
2114,X,016,2007-08,4.0,4.0,4.0,4.0,4.0
2115,X,025,2007-08,3.0,1.5,3.0,3.0,3.0
2116,X,204,2007-08,4.0,4.0,4.0,3.0,4.0
2117,X,248,2007-08,4.0,4.0,4.0,4.0,3.0
2118,X,297,2007-08,3.0,4.0,4.0,1.5,4.0
2119,K,127,2007-08,4.0,4.0,3.0,3.0,4.0
2120,M,035,2007-08,5.0,5.0,4.0,4.0,4.0
2121,M,150,2007-08,3.0,3.0,3.0,3.0,4.0
2122,Q,283,2007-08,4.0,4.0,3.0,3.0,4.0
2123,Q,285,2007-08,4.0,4.0,4.0,3.0,4.0
2124,X,213,2007-08,4.0,4.0,4.0,4.0,4.0
2125,K,094,2007-08,4.0,4.0,4.0,4.0,4.0
2126,K,160,2007-08,4.0,4.0,3.0,3.0,4.0
2127,K,370,2007-08,3.0,3.0,3.0,3.0,4.0
2128,K,615,2007-08,4.0,4.0,4.0,4.0,4.0
2129,K,698,2007-08,4.0,3.0,4.0,3.0,4.0
2130,M,040,2007-08,4.0,4.0,4.0,4.0,4.0
2131,M,470,2007-08,4.0,4.0,4.0,4.0,4.0
2132,M,485,2007-08,5.0,5.0,5.0,5.0,5.0
2133,M,494,2007-08,4.0,4.0,3.0,3.0,3.0
2134,M,520,2007-08,4.0,3.0,4.0,1.5,4.0
2135,Q,400,2007-08,4.0,4.0,4.0,4.0,4.0
2136,X,014,2007-08,4.0,4.0,4.0,3.0,4.0
2137,X,111,2007-08,4.0,4.0,4.0,3.0,4.0
2138,X,130,2007-08,4.0,4.0,4.0,4.0,4.0
2139,X,244,2007-08,4.0,4.0,4.0,3.0,4.0
2140,X,306,2007-08,4.0,4.0,4.0,4.0,3.0
2141,X,327,2007-08,4.0,4.0,4.0,3.0,4.0
2142,K,229,2007-08,4.0,4.0,3.0,3.0,4.0
2143,K,382,2007-08,4.0,3.0,3.0,3.0,4.0
2144,M,418,2007-08,4.0,4.0,4.0,3.0,4.0
2145,X,500,2007-08,4.0,4.0,4.0,1.5,3.0
2146,X,543,2007-08,5.0,4.0,5.0,3.0,5.0
2147,K,218,2007-08,3.0,4.0,3.0,4.0,4.0
2148,K,249,2007-08,5.0,4.0,5.0,5.0,5.0
2149,K,499,2007-08,5.0,5.0,4.0,4.0,4.0
2150,K,529,2007-08,4.0,3.0,3.0,3.0,4.0
2151,M,519,2007-08,5.0,5.0,4.0,5.0,5.0
2152,K,039,2007-08,4.0,0.0,4.0,4.0,4.0
2153,K,161,2007-08,4.0,4.0,4.0,3.0,4.0
2154,K,307,2007-08,3.0,3.0,3.0,1.5,4.0
2155,M,133,2007-08,4.0,4.0,3.0,3.0,4.0
2156,M,414,2007-08,1.5,4.0,3.0,1.5,4.0
2157,M,531,2007-08,4.0,4.0,4.0,3.0,4.0
2158,X,032,2007-08,4.0,5.0,4.0,4.0,4.0
2159,X,254,2007-08,4.0,4.0,4.0,3.0,3.0
2160,X,268,2007-08,4.0,0.0,3.0,4.0,3.0
2161,X,390,2007-08,4.0,4.0,4.0,3.0,4.0
2162,X,437,2007-08,4.0,4.0,3.0,3.0,4.0
2163,X,045,2007-08,3.0,4.0,4.0,4.0,4.0
2164,X,051,2007-08,4.0,4.0,3.0,3.0,4.0
2165,K,077,2007-08,4.0,4.0,3.0,4.0,3.0
2166,K,410,2007-08,3.0,3.0,1.5,1.5,3.0
2167,K,425,2007-08,5.0,4.0,4.0,3.0,5.0
2168,K,519,2007-08,3.0,3.0,3.0,1.5,3.0
2169,K,546,2007-08,5.0,5.0,5.0,3.0,4.0
2170,K,660,2007-08,4.0,3.0,4.0,3.0,3.0
2171,K,670,2007-08,4.0,4.0,5.0,4.0,4.0
2172,M,226,2007-08,4.0,4.0,3.0,4.0,4.0
2173,M,479,2007-08,5.0,4.0,4.0,4.0,4.0
2174,M,586,2007-08,3.0,3.0,3.0,3.0,3.0
2175,Q,263,2007-08,4.0,4.0,4.0,4.0,4.0
2176,Q,264,2007-08,5.0,4.0,4.0,4.0,4.0
2177,Q,435,2007-08,4.0,3.0,3.0,1.5,3.0
2178,Q,555,2007-08,5.0,0.0,5.0,4.0,5.0
2179,Q,575,2007-08,4.0,4.0,4.0,3.0,4.0
2180,R,455,2007-08,4.0,4.0,4.0,3.0,4.0
2181,R,460,2007-08,5.0,4.0,4.0,4.0,4.0
2182,X,209,2007-08,5.0,4.0,4.0,5.0,4.0
2183,X,223,2007-08,4.0,4.0,4.0,4.0,4.0
2184,X,296,2007-08,3.0,4.0,4.0,3.0,4.0
2185,X,445,2007-08,5.0,4.0,4.0,4.0,4.0
2186,K,595,2007-08,4.0,4.0,4.0,3.0,4.0
2187,M,300,2007-08,4.0,4.0,3.0,3.0,4.0
2188,X,303,2007-08,4.0,4.0,4.0,3.0,4.0
2189,X,548,2007-08,3.0,4.0,1.5,3.0,3.0
2190,K,371,2007-08,3.0,3.0,3.0,3.0,3.0
2191,K,455,2007-08,3.0,3.0,3.0,1.5,3.0
2192,M,294,2007-08,5.0,4.0,4.0,3.0,4.0
2193,Q,260,2007-08,4.0,4.0,4.0,4.0,3.0
2194,X,260,2007-08,4.0,4.0,4.0,3.0,4.0
2195,X,525,2007-08,3.0,3.0,4.0,1.5,3.0
2196,X,696,2007-08,4.0,4.0,5.0,4.0,4.0
2197,K,319,2007-08,5.0,5.0,4.0,4.0,4.0
2198,K,408,2007-08,3.0,3.0,3.0,1.5,4.0
2199,K,514,2007-08,4.0,4.0,4.0,3.0,4.0
2200,M,079,2007-08,5.0,5.0,5.0,4.0,4.0
2201,M,285,2007-08,4.0,3.0,4.0,4.0,4.0
2202,M,288,2007-08,3.0,4.0,3.0,1.5,3.0
2203,M,305,2007-08,3.0,3.0,3.0,3.0,4.0
2204,M,307,2007-08,4.0,3.0,4.0,3.0,3.0
2205,M,316,2007-08,3.0,3.0,3.0,3.0,1.5
2206,M,349,2007-08,3.0,3.0,3.0,1.5,4.0
2207,Q,259,2007-08,3.0,3.0,3.0,1.5,4.0
2208,Q,267,2007-08,4.0,4.0,3.0,3.0,4.0
2209,Q,650,2007-08,4.0,3.0,4.0,3.0,4.0
2210,X,225,2007-08,4.0,4.0,4.0,4.0,4.0
2211,X,239,2007-08,4.0,4.0,4.0,3.0,4.0
2212,X,439,2007-08,4.0,4.0,4.0,3.0,4.0
2213,X,495,2007-08,4.0,4.0,4.0,3.0,4.0
2214,X,545,2007-08,4.0,4.0,4.0,3.0,4.0
2215,X,546,2007-08,4.0,4.0,4.0,3.0,4.0
2216,K,023,2007-08,4.0,4.0,3.0,3.0,3.0
