,Borough,SchoolNumber,School Name,Neighborhood
705,Empowerment Schools: citywide[edit],PS 16,Wakefield,"Wakefield, Bronx"
706,Empowerment Schools: citywide[edit],PS 21,Crispus Attucks,"Bedford-Stuyvesant, Brooklyn"
707,Empowerment Schools: citywide[edit],PS 23,The New Children’s School,"Belmont, Bronx"
708,Empowerment Schools: citywide[edit],PS 24,,"Sunset Park, Brooklyn"
709,Empowerment Schools: citywide[edit],PS 29,John M. Harrigan,"Cobble Hill, Brooklyn"
710,Empowerment Schools: citywide[edit],PS 32,The Gifford School,"Great Kills, Staten Island"
711,Empowerment Schools: citywide[edit],PS 35,Franz Siegel,"Concourse Village, Bronx"
712,Empowerment Schools: citywide[edit],PS 42,Claremont,"Claremont Village, Bronx"
713,Empowerment Schools: citywide[edit],PS 49,Dorothy Bonawit Kole,"Middle Village, Queens"
714,Empowerment Schools: citywide[edit],PS 50,Vito Marcantonio,"East Harlem, Manhattan"
715,Empowerment Schools: citywide[edit],PS 52,Queens,"Springfield Gardens, Queens"
716,Empowerment Schools: citywide[edit],PS 56,Harry Eichler,"Richmond Hill, Queens"
717,Empowerment Schools: citywide[edit],PS 59,The Comm School Of Technology,"Belmont, Bronx"
718,Empowerment Schools: citywide[edit],PS 64,Robert Simon,"East Village, Manhattan"
719,Empowerment Schools: citywide[edit],PS 69,The New Vision School,"Jackson Heights, Queens"
720,Empowerment Schools: citywide[edit],PS 71,Rose E. Scala,"Ridgewood, Queens"
721,Empowerment Schools: citywide[edit],PS 75,Emily Dickinson,"Upper West Side, Manhattan"
722,Empowerment Schools: citywide[edit],PS 81,Thaddeus Stevens,"Bedford-Stuyvesant, Brooklyn"
723,Empowerment Schools: citywide[edit],PS 86,Kingsbridge Heights,"Jerome Park, Bronx"
724,Empowerment Schools: citywide[edit],PS 88,S. Silverstein Little School,"Claremont Village, Bronx"
725,Empowerment Schools: citywide[edit],PS 103,Hector Fontanez,"Wakefield, Bronx"
726,Empowerment Schools: citywide[edit],PS 105,The Blythebourne,"Borough Park, Brooklyn"
727,Empowerment Schools: citywide[edit],PS 114,Luis Llorens Torres Chl,"Concourse, Bronx"
728,Empowerment Schools: citywide[edit],PS 115,Daniel Mucatel School,"Canarsie, Brooklyn"
729,Empowerment Schools: citywide[edit],PS 121,Throop,"Allerton, Bronx"
730,Empowerment Schools: citywide[edit],PS 130,Hernando Desoto,"Little Italy, Manhattan"
731,Empowerment Schools: citywide[edit],PS 139,Alexine A. Fenty,"Flatbush, Brooklyn"
732,Empowerment Schools: citywide[edit],PS 146,Ann M. Short,"East Harlem, Manhattan"
733,Empowerment Schools: citywide[edit],PS 147,Isaac Remsen,"Williamsburg, Brooklyn"
734,Empowerment Schools: citywide[edit],PS 149,Danny Kaye,
735,Empowerment Schools: citywide[edit],PS 149,Sojourner Truth,"Harlem, Manhattan"
736,Empowerment Schools: citywide[edit],PS 151,Mary D. Carter,"Astoria, Queens"
737,Empowerment Schools: citywide[edit],PS 153,Adam Clayton Powell,"Harlem, Manhattan"
738,Empowerment Schools: citywide[edit],PS 154,Jonathan D. Hyatt,"Mott Haven, Bronx"
739,Empowerment Schools: citywide[edit],PS 161,Don Pedro Albizu Campos,"Harlem, Manhattan"
740,Empowerment Schools: citywide[edit],PS 165,Robert E. Simon,"Upper West Side, Manhattan"
741,Empowerment Schools: citywide[edit],PS 172,Beacon School Of Excellence,"Greenwood Heights, Brooklyn"
742,Empowerment Schools: citywide[edit],PS 180,Hugo Newman,"Harlem, Manhattan"
743,Empowerment Schools: citywide[edit],PS 183,Robert L. Stevenson,"Upper East Side, Manhattan"
744,Empowerment Schools: citywide[edit],PS 193,Gil Hodges,"Midwood, Brooklyn"
745,Empowerment Schools: citywide[edit],PS 194,Countee Cullen,"Harlem, Manhattan"
746,Empowerment Schools: citywide[edit],PS 199,Jessie Isador Straus,"West 70th Street, Manhattan"
747,Empowerment Schools: citywide[edit],PS 209,Margaret Mead,"Sheepshead Bay, Brooklyn"
748,Empowerment Schools: citywide[edit],PS 210,21st Century Academy,"Harlem, Manhattan"
749,Empowerment Schools: citywide[edit],PS 215,Morris H. Weiss,"Gravesend, Brooklyn"
750,Empowerment Schools: citywide[edit],PS 226,"University Heights, Bronx",
751,Empowerment Schools: citywide[edit],PS 228,ECC,"East Elmhurst, Queens"
752,Empowerment Schools: citywide[edit],PS 230,Doris L. Cohen,"Kensington, Brooklyn"
753,Empowerment Schools: citywide[edit],PS 230,Dr. Roland N. Patterson,"Gravesend, Brooklyn"
754,Empowerment Schools: citywide[edit],PS 273,Wortman,"Richmond Hill, Queens"
755,Empowerment Schools: citywide[edit],PS 279,Herman Schreiber,"Canarsie, Brooklyn"
756,Empowerment Schools: citywide[edit],PS 282,Park Slope,"Park Slope, Brooklyn"
757,Empowerment Schools: citywide[edit],PS 291,,"University Heights, Bronx"
758,Empowerment Schools: citywide[edit],PS 315,Dist 22,"Flatbush, Brooklyn"
759,Empowerment Schools: citywide[edit],PS 321,William Penn,"Park Slope, Brooklyn"
760,Empowerment Schools: citywide[edit],PS 334,The Anderson School,Citywide
761,Empowerment Schools: citywide[edit],PS 340,,"Kingsbridge, Bronx"
762,Empowerment Schools: citywide[edit],PS 360,,"Kingsbridge, Bronx"
763,Empowerment Schools: citywide[edit],PS 372,The Children’s School,"Gowanus, Brooklyn"
764,Empowerment Schools: citywide[edit],PS 399,Stanley Eugene Clark,"East Flatbush, Brooklyn"
765,Special Education District 75: citywide[edit],PS 4 (Staten Island),,
766,Special Education District 75: citywide[edit],PS 9,,
767,Special Education District 75: citywide[edit],PS 17 X,Denzel Washington,
768,Special Education District 75: citywide[edit],PS 53 K,,
769,Special Education District 75: citywide[edit],PS 94 M,,
770,Special Education District 75: citywide[edit],PS 140 K,,
771,Special Education District 75: citywide[edit],PS 224 Q,,
772,Special Education District 75: citywide[edit],PS 231K,,
773,Special Education District 75: citywide[edit],PS 327,The Children’s School,
774,Special Education District 75: citywide[edit],PS 373 R,,
775,Special Education District 75: citywide[edit],PS 352 X,The Vida Bogart School for All Children,
776,Special Education District 75: citywide[edit],PS 371,Lillian L. Rashkis,
